('Total Revenue', '159,969,000', '143,015,000', '125,843,000', '110,360,000', '89,950,000')
         367852 function calls (358932 primitive calls) in 6.103 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
      117    0.000    0.000    0.003    0.000 sre_parse.py:96(closegroup)
      669    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      315    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       69    0.000    0.000    0.000    0.000 css_types.py:212(__init__)
      217    0.000    0.000    0.000    0.000 socket.py:76(<lambda>)
       46    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      303    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 stringprep.py:2(<module>)
        1    0.000    0.000    0.007    0.007 ssl.py:4(<module>)
        1    0.000    0.000    0.002    0.002 datetime.py:1(<module>)
        2    0.000    0.000    0.001    0.000 feedparser.py:218(_parsegen)
       42    0.000    0.000    0.000    0.000 enum.py:532(_get_mixins_)
      132    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      218    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
      333    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      219    0.000    0.000    0.000    0.000 socket.py:86(<lambda>)
        1    0.000    0.000    0.050    0.050 ssl.py:983(_create)
      133    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:175(_path_isabs)
       52    0.000    0.000    0.004    0.000 css_parser.py:1012(<listcomp>)
        3    0.000    0.000    0.000    0.000 tokenize.py:83(_all_string_prefixes)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.001    0.001 client.py:204(parse_headers)
        1    0.000    0.000    0.000    0.000 __init__.py:51(lookup)
      105    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1004(__init__)
    34/24    0.000    0.000    0.095    0.004 <frozen importlib._bootstrap>:1017(_handle_fromlist)
       73    0.000    0.000    0.000    0.000 element.py:347(_last_descendant)
      131    0.000    0.000    0.000    0.000 _virtualenv.py:54(find_spec)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7fcc8b7d8c10}
        1    0.000    0.000    6.103    6.103 financial.py:2(<module>)
       16    0.000    0.000    0.000    0.000 enum.py:579(_find_new_)
      335    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       10    0.000    0.000    0.004    0.000 enum.py:483(_convert_)
      128    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:800(find_spec)
       60    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.000    0.000 client.py:423(flush)
        1    0.000    0.000    0.005    0.005 __init__.py:17(<module>)
       38    0.000    0.000    0.000    0.000 element.py:1266(get_text)
       36    0.000    0.000    0.023    0.001 element.py:1767(find_all)
      131    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:725(find_spec)
        4    0.000    0.000    0.000    0.000 {built-in method _ssl.txt2obj}
       35    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
      311    0.000    0.000    0.000    0.000 css_parser.py:303(get_name)
        1    0.000    0.000    0.002    0.002 random.py:1(<module>)
        1    0.000    0.000    0.005    0.005 shutil.py:1(<module>)
       95    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        7    0.000    0.000    0.000    0.000 message.py:462(get)
       60    0.000    0.000    0.000    0.000 os.py:670(__getitem__)
       34    0.000    0.000    0.000    0.000 enum.py:932(__or__)
        9    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1549(_fill_cache)
        1    0.000    0.000    0.333    0.333 client.py:300(begin)
        1    0.000    0.000    0.001    0.001 parse.py:1(<module>)
       59    0.000    0.000    0.000    0.000 __init__.py:21(__new__)
    14/10    0.000    0.000    0.101    0.010 {built-in method builtins.__import__}
        1    0.000    0.000    0.000    0.000 quoprimime.py:5(<module>)
      165    0.000    0.000    0.000    0.000 enum.py:753(value)
       34    0.000    0.000    0.005    0.000 element.py:1742(find)
       16    0.000    0.000    0.000    0.000 _policybase.py:293(header_source_parse)
       16    0.000    0.000    0.000    0.000 enum.py:143(__prepare__)
        1    0.000    0.000    0.000    0.000 dammit.py:348(find_declared_encoding)
      158    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.005    0.005 financial.py:16(<listcomp>)
      128    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       60    0.000    0.000    0.000    0.000 _collections_abc.py:742(__iter__)
        1    0.000    0.000    0.031    0.031 client.py:1(<module>)
       15    0.000    0.000    0.043    0.003 css_parser.py:297(__init__)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1317(_path_hooks)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1459(__init__)
        1    0.000    0.000    0.005    0.005 hashlib.py:5(<module>)
       19    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
      151    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        1    0.000    0.000    0.004    0.004 sbcsgroupprober.py:29(<module>)
       16    0.000    0.000    0.000    0.000 enum.py:522(_check_for_existing_members)
        1    0.000    0.000    0.000    0.000 request.py:2494(getproxies_environment)
        1    0.000    0.000    0.000    0.000 feedparser.py:210(_pop_message)
        9    0.000    0.000    0.000    0.000 <frozen zipimport>:63(__init__)
      225    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 client.py:411(close)
        1    0.000    0.000    0.000    0.000 _htmlparser.py:307(__init__)
        6    0.000    0.000    0.000    0.000 _policybase.py:281(_sanitize_header)
      159    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       13    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.001    0.001 parser.py:41(parse)
       16    0.000    0.000    0.000    0.000 enum.py:175(<dictcomp>)
        1    0.000    0.000    0.475    0.475 request.py:1313(do_open)
       36    0.000    0.000    0.000    0.000 element.py:2162(__init__)
        1    0.000    0.000    0.000    0.000 message.py:303(set_payload)
      116    0.000    0.000    0.000    0.000 os.py:752(decode)
       16    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.081    0.081 socket.py:771(create_connection)
        1    0.000    0.000    0.008    0.008 css_match.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1335(_fixupParents)
       60    0.000    0.000    0.000    0.000 os.py:748(encode)
        1    0.000    0.000    0.000    0.000 mbcssm.py:28(<module>)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1172(exec_module)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
        1    0.000    0.000    0.000    0.000 parse.py:417(urlsplit)
