('Total Revenue', '159,969,000', '143,015,000', '125,843,000', '110,360,000', '89,950,000')
         449680 function calls (437022 primitive calls) in 2.363 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       34    0.000    0.000    0.008    0.000 element.py:1742(find)
       32    0.000    0.000    0.000    0.000 enum.py:1009(<lambda>)
       31    0.000    0.000    0.000    0.000 {method 'split' of 'bytes' objects}
       31    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       29    0.000    0.000    0.000    0.000 __init__.py:91(_replace_charref)
       28    0.000    0.000    0.000    0.000 __init__.py:554(__missing__)
       27    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
       27    0.000    0.000    0.000    0.000 structures.py:60(<genexpr>)
       26    0.000    0.000    0.000    0.000 utils.py:51(_has_surrogates)
       25    0.000    0.000    0.000    0.000 _policybase.py:281(_sanitize_header)
       25    0.000    0.000    0.000    0.000 _policybase.py:311(header_fetch_parse)
       24    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
       24    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
       24    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
       24    0.000    0.000    0.000    0.000 tokenize.py:94(<listcomp>)
       24    0.000    0.000    0.000    0.000 threading.py:246(__enter__)
       24    0.000    0.000    0.000    0.000 threading.py:249(__exit__)
       24    0.000    0.000    0.000    0.000 structures.py:53(__getitem__)
       23    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
       23    0.000    0.000    0.000    0.000 threading.py:261(_is_owned)
       23    0.000    0.000    0.000    0.000 threading.py:341(notify)
       23    0.000    0.000    0.000    0.000 queue.py:15(_qsize)
       22    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       22    0.000    0.000    0.000    0.000 typing.py:120(_type_check)
       22    0.000    0.000    0.000    0.000 util.py:14(lower)
       21    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
       21    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
    21/20    0.038    0.002    0.038    0.002 {built-in method _imp.create_dynamic}
       21    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1153(__init__)
    21/20    0.000    0.000    0.039    0.002 <frozen importlib._bootstrap_external>:1164(create_module)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1172(exec_module)
       21    0.000    0.000    0.000    0.000 _collections.py:156(__getitem__)
       20    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
       20    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
       20    0.000    0.000    0.000    0.000 feedparser.py:78(readline)
       20    0.000    0.000    0.000    0.000 feedparser.py:128(__next__)
